CustomerID,Tenure,MonthlyCharges,LoginFrequency,EngagementScore,SupportTickets,Churn
1,38,2012,11,15,8,1
2,13,448,21,82,4,0
3,10,2306,3,86,4,1
4,6,2556,5,5,1,1
5,65,3908,13,12,1,1
6,17,2031,16,34,1,0
7,2,2590,4,12,2,1
8,7,3007,24,14,3,1
9,26,1359,26,7,1,1
10,51,3225,17,80,0,0
11,21,1320,2,73,3,1
12,19,680,9,98,0,0
13,12,457,3,61,3,1
14,29,4705,9,77,5,0
15,30,830,4,91,9,1
16,15,2625,11,27,2,0
17,51,3621,17,19,7,1
18,69,4494,12,78,3,0
19,14,615,24,27,8,1
20,10,3806,8,58,4,0
21,8,2310,8,62,4,0
22,64,3451,26,10,0,1
23,62,1944,13,2,2,1
24,23,2587,22,20,3,1
25,58,1559,10,80,5,0
26,2,3491,15,93,9,1
27,1,3276,23,27,0,0
28,61,4384,26,7,5,1
29,9,1484,20,61,0,0
30,14,764,24,47,1,0
31,48,4223,18,74,6,0
32,31,3956,3,97,5,1
33,4,101,1,13,6,1
34,71,2925,26,14,6,1
35,22,1078,29,78,6,0
36,50,3369,12,76,8,1
37,58,4336,0,27,3,1
38,4,2836,22,93,3,0
39,69,2998,21,65,9,1
40,25,4803,12,10,1,1
41,44,1358,29,83,0,0
42,27,2123,26,30,6,0
43,53,3166,25,53,1,0
44,42,4644,23,52,5,0
45,16,1039,29,12,7,1
46,65,3740,24,45,3,0
47,69,4358,28,9,0,1
48,26,346,6,12,5,1
49,8,1130,25,87,9,1
50,27,220,28,4,0,1
51,26,4310,14,95,9,1
52,23,523,15,26,8,1
53,10,4755,23,82,0,0
54,68,999,14,85,0,0
55,24,682,6,30,8,1
56,28,1709,20,15,3,1
57,38,2074,25,30,5,0
58,58,2692,18,51,3,0
59,39,3077,25,37,4,0
60,9,1006,17,76,6,0
61,33,2790,21,48,8,1
62,35,2765,13,76,1,0
63,11,2153,9,22,2,1
64,24,3997,25,23,4,1
65,16,4619,26,17,9,1
66,26,2208,19,12,8,1
67,63,561,14,3,7,1
68,47,4189,29,63,5,0
69,33,1797,1,71,2,1
70,24,4142,19,83,7,1
